"","state_abbr","date","traf"
"1","AZ",2020-06-05,-12.9121026404299
"2","FL",2020-06-05,-7.50386644218878
"3","LA",2020-06-05,-2.6020949899672
"4","MA",2020-06-05,-26.8565517012897
"5","MI",2020-06-05,-25.1452062322749
"6","MO",2020-06-05,-20.8373239360472
"7","MT",2020-06-05,-15.3788435513356
"8","NC",2020-06-05,-16.1624118075771
"9","OH",2020-06-05,-16.9492444064231
"10","RI",2020-06-05,-23.857911824103
"11","US",2020-06-05,-16.1944918580276
"12","VA",2020-06-05,-24.5886086330848
"13","VA",2020-06-04,-26.6661628031052
"14","US",2020-06-04,-15.393439907106
"15","TN",2020-06-04,3.68013700173031
"16","RI",2020-06-04,-17.0776220150849
"17","OH",2020-06-04,-18.8593385863913
"18","NC",2020-06-04,-12.8846073887745
"19","NM",2020-06-04,-14.5866460220735
"20","MT",2020-06-04,-14.0074573400264
"21","MO",2020-06-04,-22.9894876780773
"22","MI",2020-06-04,-23.5711492772953
"23","MA",2020-06-04,-23.7048361610451
"24","LA",2020-06-04,-3.33623521034874
"25","IN",2020-06-04,-14.8161526114112
"26","FL",2020-06-04,-11.3341966800294
"27","CT",2020-06-04,-25.5245291614569
"28","AZ",2020-06-04,-12.5165539740875
"29","CO",2020-06-04,-14.1736989332981
"30","CO",2020-06-03,-14.6330463952333
"31","AZ",2020-06-03,-11.1103425474712
"32","CT",2020-06-03,-32.5365774253122
"33","FL",2020-06-03,-12.4354627776178
"34","IN",2020-06-03,-13.3144686092294
"35","LA",2020-06-03,-5.37711641818954
"36","IL",2020-06-03,-19.8681765421058
"37","MA",2020-06-03,-28.6817738754076
"38","MI",2020-06-03,-21.5917871765452
"39","MO",2020-06-03,-22.6272332351169
"40","MT",2020-06-03,-15.2979514197115
"41","NM",2020-06-03,-13.2304386495421
"42","NC",2020-06-03,-14.3851107034796
"43","OH",2020-06-03,-17.7242212032617
"44","RI",2020-06-03,-23.4364654100921
"45","TN",2020-06-03,9.29357036941114
"46","US",2020-06-03,-15.7229170257044
"47","VA",2020-06-03,-25.0556723501989
"48","VA",2020-06-02,-26.7751847072089
"49","US",2020-06-02,-15.5571261110321
"50","TN",2020-06-02,2.81566316511168
"51","RI",2020-06-02,-20.9658771084405
"52","OH",2020-06-02,-17.9529741968275
"53","NC",2020-06-02,-15.0895299284205
"54","NM",2020-06-02,-13.5305355685626
"55","MT",2020-06-02,-15.4210514686567
"56","MO",2020-06-02,-20.0119755282037
"57","MI",2020-06-02,-21.6819898727807
"58","MA",2020-06-02,-27.3535521844854
"59","IL",2020-06-02,-19.8251151116993
"60","IN",2020-06-02,-12.4694448037068
"61","LA",2020-06-02,-1.56807212890196
"62","FL",2020-06-02,-10.2961228380267
"63","CT",2020-06-02,-30.427816845487
"64","AZ",2020-06-02,-12.4030896868381
"65","CO",2020-06-02,-14.5763520837099
"66","CO",2020-06-01,-17.5341110624604
"67","AZ",2020-06-01,-12.6920306941066
"68","CT",2020-06-01,-30.8419321351559
"69","FL",2020-06-01,-10.2299347734075
"70","LA",2020-06-01,-2.87579324403804
"71","IN",2020-06-01,-12.6301697192729
"72","IL",2020-06-01,-21.0374097804622
"73","MA",2020-06-01,-29.2010778592284
"74","MI",2020-06-01,-23.5483316183465
"75","MO",2020-06-01,-24.9156943963864
"76","MT",2020-06-01,-16.0277960218903
"77","NM",2020-06-01,-14.6671607080525
"78","NC",2020-06-01,-14.5921320296778
"79","OH",2020-06-01,-16.8616424156567
"80","RI",2020-06-01,-19.5113300024378
"81","TN",2020-06-01,6.36691888477578
"82","US",2020-06-01,-15.9252872646274
"83","VA",2020-06-01,-25.1863819348032
"84","US",2020-05-31,-15.7413536597502
"85","VA",2020-05-31,-21.9922933253093
"86","TN",2020-05-31,-4.08351658177711
"87","RI",2020-05-31,-16.0329270168935
"88","OH",2020-05-31,-19.291358601035
"89","NC",2020-05-31,-13.956538438576
"90","NH",2020-05-31,-17.9770442257279
"91","NM",2020-05-31,-15.1336831976551
"92","MT",2020-05-31,-2.73674417512139
"93","MO",2020-05-31,-14.8489598841238
"94","MI",2020-05-31,-22.100392590715
"95","MA",2020-05-31,-26.5695210818675
"96","IL",2020-05-31,-19.2444194395585
"97","IN",2020-05-31,-15.0752434734961
"98","LA",2020-05-31,-4.57230354820027
"99","FL",2020-05-31,-12.3222275325118
"100","CT",2020-05-31,-27.9368374572476
"101","AZ",2020-05-31,-12.2670641773108
"102","CO",2020-05-31,-13.5585018860995
"103","CO",2020-05-30,-13.8935144057268
"104","AZ",2020-05-30,-14.7310172306887
"105","CT",2020-05-30,-31.8880991386516
"106","FL",2020-05-30,-12.7918908295439
"107","LA",2020-05-30,-5.3932533982909
