date,TT,AZ,CO,CT,FL,IL,IN,LA,MA,MI,MO,MT,NC,NM,OH,RI,TN,TX,VA,VT,WA
4/11/20,-40.9,,,,,,,,,,,,,,,,,,,,
4/10/20,-39.7,-31.8,,,,,,,,,,,,,,,,,,,
4/9/20,-33.1,-28.3,,,,,,,,,,,,,,,,,,,
4/8/20,-33.3,-28.3,,,,,,,,,,,,,,,,,,,
4/7/20,-34.9,-29.3,,,,,,,,,,,,,,,,,,,
4/6/20,-37,-36.1,-39,-43.1,-34.3,-36.1,-40.6,-29.4,,-43.2,-48.4,,-39,,-40.7,-28,-27.8,,-44.8,,-39
4/5/20,-50.3,-44.2,-49.4,-56.7,-53,-38.5,-50.7,-39.2,-50.6,-52,-46.6,-39.6,-52.9,-39.2,-54.5,-48.9,-33.8,,-46.3,,-55.8
4/4/20,-47.2,-39.1,-49.2,-51.4,-39,-40.4,-48.8,-35.2,-48.6,-57,-50.3,-40.8,-47.8,-36.9,-48.4,-47.8,-37.1,-49.2,-47.3,,-52
4/3/20,-40.5,-36.6,-47.3,-54.6,-36.5,-36.3,-39.3,-29.7,-48.5,-48,-47.8,-41.7,-41.6,-34.9,-41.8,-45.5,-30,-32.4,-40.4,,-46.3
4/2/20,-39.8,-37.2,-48.8,-52.4,-29.9,-34.8,-39,-30.1,-46.4,-47.8,-45.4,-45.1,-43.3,-37.4,-43.1,-44.7,-28,-37.8,-45,,-43.7
4/1/20,-37.6,-33.5,-37.5,-41.4,-31.2,-38.7,-40.6,-29.2,-44.1,-50.8,-46.3,-46.8,-43,-31.3,-43.8,-42.7,-29.8,-27,-48.1,,-39.9
3/31/20,-37.2,-30,-37.1,-39.9,-32.8,-37.8,-37.6,-28.6,-42.2,-49.9,-43,-31.1,-40.6,-31.8,-40.7,-39.6,,-31.1,-45.4,-49.7,-37
3/30/20,-36.2,-34.2,-41,-34.8,-29.5,-36.4,-34.6,-28.5,-42.1,-49.9,-41.6,-23.3,-34.8,-34.8,-39.9,-35.8,-21.5,-35.2,-40,-56.2,-39.8
3/29/20,-44.9,-41.7,-52.1,-53.7,-44.5,-48.6,-48.7,,,-60.6,-1.8,-35.3,-44.4,-41.6,-48.3,-54.1,-22.3,-47.7,-39.5,-63,-54.1
3/28/20,-44.8,-37.5,-54.7,-44.4,-38,-50.2,-50.6,-36.2,-42.9,-60.7,-39.7,-35.6,-43.4,-40.5,-54.7,-41,,-44.2,-44.7,-58.1,-53.2
3/27/20,-39.2,-37.4,-47.6,-45.3,-32.1,-42.7,-42.4,-33,-40.8,-52.4,-45.6,-17.2,-30.3,-39.9,-46.1,-37.3,-23.8,-35,-39.3,-54.1,-47
3/26/20,-37,-33.4,-40.3,-42,-33.2,-38.9,-37.7,-32,-46.3,-51,-45.9,-18.9,-34.4,-37.3,-41.1,-37.5,-23.3,-31.3,-40.8,-52.3,-41
3/25/20,-35.1,-27.5,-31.7,-46.5,-29.9,-37.5,-38.4,-30.1,-45,-48.4,-44.1,-20.8,-29.9,-31.3,-41.5,-40.6,-26.9,-27.2,-48.2,-44.5,-32.5
3/24/20,-33.5,-25.6,-30.3,-39.8,-29.8,-39.4,-30.4,-31,-43,-48.5,-48.2,-19.9,-26,-28.1,-43.1,-36.6,-34.2,-21.7,-38,-43.1,-26.4
3/23/20,-30.2,-30,-31.1,-45.9,-27.1,-40.1,-25.8,-22.7,-35.9,-25.9,-43.4,-11.2,,-22.8,-30.2,-31.3,-28.3,-23,-41.9,-48.5,-24.2
3/22/20,-39.2,-35.1,-40.4,-44.6,-34.9,-54.6,-41.2,,-40.2,-40.8,-39.2,-17.7,,-27.9,-39.5,-37.5,-27.4,-39.6,-41.9,-46.8,-32.5
3/21/20,-33.9,-27.1,-37.3,-40.1,-31.3,-36.6,-34.1,-29.3,-36.9,-36.7,-35.7,-11.4,,-27.2,-41.3,-31.2,-21.5,-34.6,-45.7,-45,-23.2
3/20/20,-27.2,-22.6,-40.6,-33.6,-22.9,-27.2,-25.3,-17,-34.8,-33.9,-32.7,-11,-14.4,-22.3,-31.6,-30.2,-23.3,-24.6,-30.1,-42.9,-21.3
3/19/20,-24.1,-23,-47.9,-38.8,-20.2,-28.4,-22.6,-11.5,-36.8,-26.3,-36.8,-13.2,-1.5,-20.4,-26.7,-34.8,-12.4,-17.1,-31.2,-39,-17.3
3/18/20,-19,-16.9,-17.5,-26.5,-17.7,-24.5,-19.6,-7.6,-28.5,-21,-35.5,-7.2,0.9,-10.7,-23,-26,-13.9,-10.8,-31.1,-30,-12.9
3/17/20,-14.7,-1.1,-16.9,-17.5,-13,-16.6,-12.6,-3.6,-30.5,-17.4,-29.5,-2.7,-1.5,-6.4,-18.6,-27.1,-11.6,-7.8,-26.1,-28,-9.5
3/16/20,-9,-1.7,-8.3,-13.3,-7.3,-9.9,-8.1,4.1,-12.8,-11.3,-23.6,-5.1,-3,-2.8,-10.8,-9.6,-8.9,-4,-21,-17.1,-5.8
